entity	type	topic
Christmas	EVENT	ukfestivities.txt
Bill Clinton	PERSON	chapo
Chad	PERSON	chapo
Deedee Myers	PERSON	chapo
White House	GPE	chapo
Plotinus	PERSON	philthis
bodily existence	CONCEPT	philthis
true existence	CONCEPT	philthis
-thirds	PERCENT	firstdraft.txt
two weeks	DATE	firstdraft.txt
Stoicism	CONCEPT	philthis
John Locke	PERSON	philthis
800 BC	TIME	philthis
Greek	LANGUAGE	philthis
Christianity	CONCEPT	philthis
Fall of the Roman Empire	CONCEPT	philthis
Church	GPE	philthis
Instagram	PRODUCT	firstdraft.txt
Chad	PERSON	chapo
Clinton	PERSON	chapo
White House	GPE	chapo
White House	GPE	chapo
Brandys	PERSON	firstdraft.txt
millions	CARDINAL	moveyourdna.txt
millions	CARDINAL	moveyourdna.txt
thousands	CARDINAL	moveyourdna.txt
knowledge	CONCEPT	moveyourdna.txt
Kevin	PERSON	kevin.txt
New York Times	ORGANIZATION	firstdraft.txt
Western	WORK OF ART	philthis
Europe	GPE	philthis
English Bulldog	PERSON	philthis
modern America	DATE	philthis
-gatherer	CONCEPT	philthis
Pyrrhic victoryIm	EVENT	philthis
colloquialism	LANGUAGE	philthis
United States	GPE	philthis
labor	CONCEPT	moveyourdna.txt
Alexander the Great	PERSON	philthis
Far from the Tree	WORK OF ART	firstdraft.txt
14	QUANTITY	moveyourdna.txt
-16	DATE	moveyourdna.txt
First Draft	ORGANIZATION	firstdraft.txt
Athensafter	GPE	philthis
thousands	CARDINAL	moveyourdna.txt
Erasmus	PERSON	philthis
1 million	QUANTITY	ukfestivities.txt
sophists	CONCEPT	philthis
Move Your DNA	WORK OF ART	moveyourdna.txt
Venn Design	PERSON	moveyourdna.txt
Unshoes	PERSON	moveyourdna.txt
Softstar Shoes	GPE	moveyourdna.txt
ten years	DATE	firstdraft.txt
love	CONCEPT	philthis
strife	CONCEPT	philthis
CPS	CONCEPT	kevin.txt
Maya	PERSON	firstdraft.txt
Stalingrad	PERSON	moveyourdna.txt
Hamburg Germany	PERSON	moveyourdna.txt
New York City	WORK OF ART	moveyourdna.txt
Detroit	GPE	moveyourdna.txt
Stephen West	PERSON	philthis
Venn Design	PERSON	moveyourdna.txt
Unshoes	PERSON	moveyourdna.txt
Yoga Girl Daily	ORGANIZATION	yogagirl.txt
18	QUANTITY	moveyourdna.txt
Hitler	PERSON	philthis
WW2	CONCEPT	philthis
Maurene Goo	PERSON	firstdraft.txt
First Draft	ORGANIZATION	firstdraft.txt
skepticism	CONCEPT	philthis
Greek	LANGUAGE	philthis
Maya	PERSON	firstdraft.txt
middle of 2015	DATE	firstdraft.txt
wild food foraging	CONCEPT	moveyourdna.txt
God	PERSON	philthis
Peters	PERSON	philthis
ergonomics	CONCEPT	moveyourdna.txt
16	CARDINAL	kevin.txt
16	CARDINAL	kevin.txt
Hobbes	PERSON	philthis
laws	CONCEPT	philthis
God	PERSON	philthis
30	CARDINAL	moveyourdna.txt
40	CARDINAL	moveyourdna.txt
Kari Russell	PERSON	firstdraft.txt
Felicity	PERSON	firstdraft.txt
Maya	PERSON	firstdraft.txt
Claire	PERSON	firstdraft.txt
Plato	PERSON	philthis
27	CARDINAL	philthis
